資源彙整機關,鄉鎮市區,村里,中心名稱,辦理單位,連絡電話,地址,相關網址,X坐標,Y坐標,備註,最後更新時間
桃園市政府,桃園區,大林里,大林社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區大原路31號2樓,,,,,20181024
桃園市政府,桃園區,青溪里,青溪里聯合集會所,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區鎮撫街41號1樓,,,,,20181024
桃園市政府,桃園區,中德里,中山社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區國際路1段575號,,,,,20181024
桃園市政府,桃園區,中埔里,同德社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區永安北路500號2樓,,,,,20181024
桃園市政府,桃園區,三民里,三民里集會所,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區中山東路128號1樓,,,,,20181024
桃園市政府,桃園區,會稽里,大檜溪社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區興一街65巷50號2樓,,,,,20181024
桃園市政府,桃園區,汴洲里,汴洲社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區峨嵋二街26號2樓,,,,,20181024
桃園市政府,桃園區,莊敬里,莊敬社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區新埔七街169巷13號,,,,,20181024
桃園市政府,桃園區,新埔里,新埔社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區新埔里南通路65號1樓,,,,,20181024
桃園市政府,桃園區,龍鳳里,龍岡社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區龍鳳里國豐二街6號2樓,,,,,20181024
桃園市政府,桃園區,福林里,陽明社區活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區福林里陽明三街33號2樓,,,,,20181024
桃園市政府,桃園區,西埔里,西埔里活動中心,桃園區公所社會課,(03)3348058分機1210,桃園市桃園區富國路681巷22號,,,,,20181024
桃園市政府,中壢區,山東里,山東社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區山東路1010號,,,,,20181024
桃園市政府,中壢區,內厝里,內厝社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區月眉路1段2號,,,,,20181024
桃園市政府,中壢區,芝芭里,芭里社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區啟文路175號,,,,,20181024
桃園市政府,中壢區,龍興里,龍興社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區龍岡路三段37巷92弄102號,,,,,20181024
桃園市政府,中壢區,仁美里,仁美社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區榮民南路350巷巷內,,,,,20181024
桃園市政府,中壢區,月眉里,月眉社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區月桃路828號,,,,,20181024
桃園市政府,中壢區,洽溪里,洽溪社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區民權路四段546號,,,,,20181024
桃園市政府,中壢區,永福里,永福社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區南園二路90號,,,,,20181024
桃園市政府,中壢區,中堅里,台貿社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區台貿一街100號,,,,,20181024
桃園市政府,中壢區,東興里,東興社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區中北路2段76巷10號,,,,,20181024
桃園市政府,中壢區,新興里,新振社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區龍岡路2段232號,,,,,20181024
桃園市政府,中壢區,過嶺里,過嶺社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區雙福路9號,,,,,20181024
桃園市政府,中壢區,青埔里,青埔社區活動中心,中壢區公所社會課,(03)4271801分機1209,桃園市中壢區青埔里6鄰48之1號,,,,,20181024
桃園市政府,八德區,福興里,福興社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區福興里廣興路53號,,,,,20181024
桃園市政府,八德區,茄苳里,茄白社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區茄苳里永豐路170號,,,,,20181024
桃園市政府,八德區,竹園里,竹霄社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區竹園里15鄰霄裡路12號,,,,,20181024
桃園市政府,八德區,大安里,大安社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區大安里和平路548號,,,,,20181024
桃園市政府,八德區,廣興里,廣興社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區廣興里廣興路293-1號,,,,,20181024
桃園市政府,八德區,大成里,大成社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區大成里建國路 1199號2樓,,,,,20181024
桃園市政府,八德區,大勇里,大義社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區大勇里自強街60號,,,,,20181024
桃園市政府,八德區,大勇里,大勇社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區大勇里自強街60號,,,,,20181024
桃園市政府,八德區,大順里,大興社區活動中心,八德區公所社會課,(03)3683155分機172,桃園市八德區大順里介壽路2段361巷96號,,,,,20181024
